Calculating probabilities
Converting SRILM format
sentence_id	token_id	token	surprisal
1	1	if	7.359552198353374
1	2	you	3.9706808413667445
1	3	were	6.860576902465449
1	4	to	6.474268497802348
1	5	journey	21.48209953014832
1	6	to	3.5321698021336583
1	7	the	4.489938036112718
1	8	north	9.889914892820844
1	9	of	2.276878703634766
1	10	england	15.767385685231464
1	11	,	4.468611053085603
1	12	you	8.725190298063072
1	13	would	5.117859013701871
1	14	come	9.504263059169569
1	15	to	3.2653750853927335
1	16	a	5.546912288101761
1	17	valley	14.766957651703581
1	18	that	8.16213483605246
1	19	is	5.989911101947427
1	20	surrounded	14.527999180721046
1	21	by	0.49995181183821774
1	22	<unk>	3.5918408486536397
1	23	as	7.8289904791045455
1	24	high	7.449101667301021
1	25	as	0.4993763831588468
1	26	mountains	22.083236355290612
1	27	.	1.2339324035305261
2	1	it	5.6512711886790115
2	2	is	2.529046095589832
2	3	in	6.773148539183421
2	4	this	6.981007387021539
2	5	valley	14.604545227568282
2	6	where	12.154468465229636
2	7	you	7.556074293609526
2	8	would	6.49991427244889
2	9	find	9.386995281583138
2	10	the	4.438135885664743
2	11	city	9.083151407558768
2	12	of	5.659392978213653
2	13	bradford	18.981070293748743
2	14	,	3.9472048535069773
2	15	where	8.252486585418605
2	16	once	12.720386954808848
2	17	a	4.086609090584816
2	18	thousand	11.565252038433654
2	19	<unk>	3.3467600265142172
2	20	<unk>	2.6845459901000925
2	21	that	7.228877914342887
2	22	<unk>	3.4672618202495387
2	23	and	6.085858994532576
2	24	<unk>	2.8586708043106492
2	25	spun	16.11206898256373
2	26	wool	19.061802951503992
2	27	into	9.621221631557763
2	28	money	7.187672872630488
2	29	for	5.8370306278035375
2	30	the	2.6421241924296144
2	31	<unk>	4.355697285581801
2	32	mill	14.856762174736836
2	33	owners	13.427728523679956
2	34	.	3.420951496558936
3	1	that	6.639425271093548
3	2	all	9.1504941441609
3	3	mill	15.872962870943192
3	4	owners	13.427728523679956
3	5	were	9.6574618569889
3	6	generally	13.31694072561459
3	7	busy	14.686540367352908
3	8	as	6.7020927006023365
3	9	<unk>	3.750619807699357
3	10	and	6.085858994532576
3	11	quite	15.540481396713785
3	12	pleased	15.439872575007994
3	13	with	1.7791747842021275
3	14	themselves	14.112529914194592
3	15	for	6.053573234387971
3	16	being	10.40200644114314
3	17	so	11.096083722638985
3	18	successful	11.086755489337849
3	19	and	7.675125152294511
3	20	well	12.250919305080538
3	21	off	9.591060820745042
3	22	was	8.889275127207448
3	23	known	9.112447279322023
3	24	to	2.162968102768685
3	25	the	4.582564542639821
3	26	residents	15.200681393067427
3	27	of	3.878464022672762
3	28	bradford	18.58739397718608
3	29	,	3.9472048535069773
3	30	and	4.720868691504259
3	31	if	9.693333428291744
3	32	you	2.6919169020846483
3	33	were	6.677455551272007
3	34	to	6.474268497802348
3	35	go	8.520923246149001
3	36	into	3.2941880233159355
3	37	the	2.3201287340441024
3	38	city	8.198990275806999
3	39	to	5.659392978213653
3	40	visit	11.276530575327772
3	41	the	4.510430759046743
3	42	stately	21.819826771020605
3	43	city	12.256279069524824
3	44	hall	7.032199749881058
3	45	,	2.6605296361563933
3	46	you	8.725190298063072
3	47	would	5.117859013701871
3	48	see	12.793825299416538
3	49	there	9.539664477766248
3	50	the	8.76416798684332
3	51	crest	16.6607551525399
3	52	of	4.532166464081699
3	53	the	3.5058433862097447
3	54	city	8.63349855323855
3	55	of	6.870363799144262
3	56	bradford	18.981070293748743
3	57	,	3.9472048535069773
3	58	which	5.323067696865742
3	59	those	12.874275355824876
3	60	same	10.88678595827198
3	61	mill	15.072435867915129
3	62	owners	13.427728523679956
3	63	created	13.573968358384509
3	64	to	6.4433844796973
3	65	celebrate	14.218795351600443
3	66	their	9.584035780300544
3	67	achievements	21.348348356962276
3	68	.	2.94720574365396
4	1	it	5.6512711886790115
4	2	shows	11.609344752263917
4	3	a	2.417629752919922
4	4	<unk>	3.926800786950111
4	5	looking	12.75481496758857
4	6	<unk>	4.609812016003246
4	7	's	7.439972976963772
4	8	head	10.620599361064016
4	9	sitting	15.27322625006394
4	10	on	6.591060542574265
4	11	top	8.280553663748968
4	12	of	0.2759017683976618
4	13	a	4.779380792092181
4	14	well	10.119802466420442
4	15	which	12.50113107194631
4	16	seems	11.728565190134468
4	17	<unk>	3.7877975476379584
4	18	at	7.733694272685279
4	19	first	7.106238466130474
4	20	,	2.431007521160378
4	21	but	5.505092170218701
4	22	the	3.1966142345048203
4	23	reason	12.379836471233505
4	24	for	3.2625035917225538
4	25	this	3.8131021347365035
4	26	symbol	16.531351729763255
4	27	is	5.117131301438416
4	28	a	4.293984246033822
4	29	matter	8.301056616513433
4	30	of	2.276878703634766
4	31	legend	18.58282398793511
4	32	.	2.233932403530526
5	1	there	7.859239643333213
5	2	was	3.6730159687541777
5	3	once	10.456605118858956
5	4	,	9.629255231034906
5	5	legend	19.248501873753945
5	6	has	8.72515061310553
5	7	it	9.182278179293212
5	8	,	5.088466036137986
5	9	a	6.225977217285536
5	10	<unk>	4.335578618842913
5	11	<unk>	2.6845459901000925
5	12	,	5.074756934109853
5	13	which	5.323067696865742
5	14	lived	16.24239578993577
5	15	in	2.0849145165804632
5	16	a	4.463538665941411
5	17	wood	15.408642166313976
5	18	located	16.13489398986531
5	19	just	11.330921924093616
5	20	outside	12.750480930737861
5	21	the	2.263403090375785
5	22	<unk>	4.1919226912012
5	23	of	6.564731393936299
5	24	bradford	18.528061417657966
5	25	.	5.784335019764314
6	1	a	5.720247550341068
6	2	source	10.548551880551225
6	3	of	0.7425253794531825
6	4	great	11.435651599796888
6	5	trouble	13.903971707430154
6	6	to	7.754559909086594
6	7	the	4.489938036112718
6	8	local	10.919240700288835
6	9	folk	17.56882714000458
6	10	the	7.250764261431409
6	11	<unk>	3.8296726902156166
6	12	was	7.999272603441882
6	13	,	8.87286988270042
6	14	bringing	11.624004797811416
6	15	terror	22.00047314726342
6	16	to	7.143045368420996
6	17	the	4.489938036112718
6	18	peaceful	17.88971442886611
6	19	<unk>	3.080512547064318
6	20	and	6.085858994532576
6	21	<unk>	2.8586708043106492
6	22	the	6.854552778831117
6	23	countryside	16.6607551525399
6	24	around	11.697891377629578
6	25	.	4.027219956241816
7	1	even	8.392425755931301
7	2	worse	7.885387216721515
7	3	,	2.740700271521071
7	4	however	7.418240927687611
7	5	,	0.2303826077606147
7	6	the	3.6086470265090647
7	7	<unk>	4.345501693203324
7	8	most	10.829764351667446
7	9	liked	17.591877877265436
7	10	to	4.26913300402851
7	11	go	8.215735672599402
7	12	to	3.1348432246427906
7	13	the	2.818576306400251
7	14	well	13.144772282571632
7	15	that	7.025004307663278
7	16	was	6.784509956853561
7	17	in	5.8474669231306
7	18	the	2.276878703634766
7	19	wood	17.538632706443998
7	20	and	6.470767143369044
7	21	drink	15.540481396713785
7	22	its	9.25001652408227
7	23	fresh	14.724415991394157
7	24	water	6.9472044084336915
7	25	,	3.5456995981274924
7	26	so	8.757366287687779
7	27	that	5.133976444444643
7	28	the	3.879174795263578
7	29	people	10.52552751100618
7	30	of	3.658731601334369
7	31	bradford	18.507383867886862
7	32	had	9.188513975384238
7	33	second	14.049241969476439
