There,There
are,are
now,now
rumblings,rumblings
that,that
Apple,Apple
might,might
soon,soon
invade,invade
the,the
smart,smart
watch,watch
"space,",space,","
though,though
the,the
company,company
is,is
maintaining,maintaining
its,its
customary,customary
silence.,silence,.
The,The
watch,watch
doesn't,does,n't
have,have
a,a
microphone,microphone
or,or
"speaker,",speaker,","
but,but
you,you
can,can
use,use
it,it
to,to
control,control
the,the
music,music
on,on
your,your
phone.,phone,.
You,You
can,can
glance,glance
at,at
the,the
watch,watch
face,face
to,to
view,view
the,the
artist,artist
and,and
title,title
of,of
a,a
song.,song,.
Two,Two
days,days
"later,",later,","
the,the
British,British
astronomer,astronomer
Richard,Richard
Carrington,Carrington
was,was
observing,observing
the,the
interesting,interesting
sunspot,sunspot
group,group
through,through
his,his
telescope,telescope
when,when
he,he
saw,saw
what,what
he,he
described,described
as,as
two,two
patches,patches
of,of
intensely,intensely
bright,bright
and,and
white,white
light,light
over,over
the,the
sunspots.,sunspots,.
He,He
jotted,jotted
a,a
note,note
in,in
his,his
painstaking,painstaking
record.,record,.
That,That
night,night
there,there
was,was
scarcely,scarcely
a,a
square,square
inch,inch
of,of
earth,earth
that,that
was,was
not,not
illuminated,illuminated
by,by
aurora.,aurora,.
I,I
agree,agree
that,that
California's,California,'s
three,three
strikes,strikes
and,and
you're,you,'re
out,out
law,law
will,will
be,be
a,a
financial,financial
disaster,disaster
for,for
taxpayers,taxpayers
who,who
care,care
about,about
education,education
and,and
other,other
vital,vital
services.,services,.
But,But
it's,it,'s
far,far
from,from
clear,clear
that,that
the,the
law,law
can,can
even,even
be,be
credited,credited
with,with
a,a
reduction,reduction
in,in
crime,crime
in,in
California.,California,.
While,While
it's,it,'s
true,true
that,that
crime,crime
declined,declined
in,in
California,California
last,last
"year,",year,","
crime,crime
also,also
dropped,dropped
nationwide.,nationwide,.
Liza,Liza
was,was
in,in
a,a
bad,bad
"temper,",temper,","
for,for
she,she
was,was
mixing,mixing
the,the
Christmas,Christmas
puddings,puddings
in,in
the,the
"kitchen,",kitchen,","
and,and
had,had
been,been
drawn,drawn
from,from
"them,",them,","
with,with
a,a
raisin,raisin
still,still
on,on
her,her
"cheek,",cheek,","
by,by
Nana's,Nana,'s
absurd,absurd
suspicions.,suspicions,.
She,She
thought,thought
the,the
best,best
way,way
of,of
getting,getting
a,a
little,little
quiet,quiet
was,was
to,to
take,take
Nana,Nana
to,to
the,the
nursery,nursery
for,for
a,a
"moment,",moment,","
but,but
in,in
custody,custody
of,of
course.,course,.
Mrs.,Mrs,.
Darling,Darling
quivered,quivered
and,and
went,went
to,to
the,the
window.,window,.
It,It
was,was
securely,securely
fastened.,fastened,.
She,She
looked,looked
"out,",out,","
and,and
the,the
night,night
was,was
peppered,peppered
with,with
stars.,stars,.
They,They
were,were
crowding,crowding
round,round
the,the
"house,",house,","
as,as
if,if
curious,curious
to,to
see,see
what,what
was,was
to,to
take,take
place,place
"there,",there,","
but,but
she,she
did,did
not,not
notice,notice
"this,",this,","
nor,nor
that,that
one,one
or,or
two,two
of,of
the,the
smaller,smaller
ones,ones
winked,winked
at,at
her.,her,.
Seeing,Seeing
Peter,Peter
slowly,slowly
advancing,advancing
upon,upon
him,him
through,through
the,the
air,air
with,with
dagger,dagger
"poised,",poised,","
he,he
sprang,sprang
upon,upon
the,the
bulwarks,bulwarks
to,to
cast,cast
himself,himself
into,into
the,the
sea.,sea,.
He,He
did,did
not,not
know,know
that,that
the,the
crocodile,crocodile
was,was
waiting,waiting
for,for
him;,him,;
for,for
we,we
purposely,purposely
stopped,stopped
the,the
clock,clock
that,that
this,this
knowledge,knowledge
might,might
be,be
spared,spared
him:,him,:
a,a
little,little
mark,mark
of,of
respect,respect
from,from
us,us
at,at
the,the
end.,end,.
Dorothy,Dorothy
didn't,did,n't
know.,know,.
She,She
looked,looked
around,around
her,her
anxiously,anxiously
for,for
some,some
familiar,familiar
landmark;,landmark,;
but,but
everything,everything
was,was
strange.,strange,.
Between,Between
the,the
branches,branches
of,of
the,the
many,many
roads,roads
were,were
green,green
meadows,meadows
and,and
a,a
few,few
shrubs,shrubs
and,and
"trees,",trees,","
but,but
she,she
couldn't,could,n't
see,see
the,the
farm-house,farm-house
from,from
which,which
she,she
had,had
just,just
"come,",come,","
or,or
anything,anything
she,she
had,had
ever,ever
seen,seen
"before,",before,","
except,except
the,the
shaggy,shaggy
man,man
and,and
Toto.,Toto,.
The,The
human,human
body,body
can,can
tolerate,tolerate
only,only
a,a
small,small
range,range
of,of
"temperature,",temperature,","
especially,especially
when,when
the,the
person,person
is,is
engaged,engaged
in,in
vigorous,vigorous
activity.,activity,.
Heat,Heat
reactions,reactions
usually,usually
occur,occur
when,when
large,large
amounts,amounts
of,of
water,water
or,or
salt,salt
are,are
lost,lost
through,through
excessive,excessive
sweating,sweating
following,following
strenuous,strenuous
exercise.,exercise,.
When,When
the,the
body,body
becomes,becomes
overheated,overheated
and,and
cannot,can,not
eliminate,eliminate
this,this
excess,excess
"heat,",heat,","
heat,heat
exhaustion,exhaustion
and,and
heat,heat
stroke,stroke
are,are
possible.,possible,.
It,It
was,was
a,a
forbidding,forbidding
"challenge,",challenge,","
and,and
it,it
says,says
much,much
for,for
Winstanley's,Winstanley,'s
persuasive,persuasive
"abilities,",abilities,","
not,not
to,to
mention,mention
his,his
"self-confidence,",self-confidence,","
that,that
the,the
admiralty,admiralty
agreed,agreed
to,to
fund,fund
him.,him,.
No,No
lighthouse,lighthouse
had,had
ever,ever
been,been
built,built
out,out
to,to
sea,sea
on,on
an,an
isolated,isolated
rock,rock
before.,before,.
The,The
Eddystone,Eddystone
is,is
hard,hard
enough,enough
to,to
"avoid,",avoid,","
but,but
landing,landing
on,on
it,it
is,is
a,a
separate,separate
challenge,challenge
entirely.,entirely,.
A,A
clergyman,clergyman
remarked,remarked
to,to
"him,",him,","
The,The
Lord,Lord
is,is
on,on
our,our
side.,side,.
I,I
am,am
not,not
at,at
all,all
concerned,concerned
about,about
"that,",that,","
replied,replied
Mr.,Mr.
Lincoln;,Lincoln,;
for,for
I,I
know,know
that,that
the,the
Lord,Lord
is,is
always,always
on,on
the,the
side,side
of,of
the,the
right.,right,.
But,But
it,it
is,is
my,my
constant,constant
anxiety,anxiety
and,and
prayer,prayer
that,that
I,I
and,and
this,this
nation,nation
should,should
be,be
on,on
the,the
Lord's,Lord,'s
side.,side,.
Known,Known
as,as
Rapa,Rapa
Nui,Nui
to,to
the,the
island's,island,'s
"inhabitants,",inhabitants,","
Rongorongo,Rongorongo
is,is
a,a
writing,writing
system,system
comprised,comprised
of,of
pictographs.,pictographs,.
It,It
has,has
been,been
found,found
carved,carved
into,into
many,many
oblong,oblong
wooden,wooden
tablets,tablets
and,and
other,other
artifacts,artifacts
from,from
the,the
island's,island,'s
history.,history,.
The,The
art,art
of,of
writing,writing
was,was
not,not
known,known
in,in
any,any
nearby,nearby
islands,islands
and,and
the,the
script's,script,'s
mere,mere
existence,existence
is,is
sufficient,sufficient
to,to
confound,confound
anthropologists.,anthropologists,.
Some,Some
months,months
"later,",later,","
Michael,Michael
Larson,Larson
saw,saw
another,another
opportunity,opportunity
to,to
stack,stack
the,the
odds,odds
in,in
his,his
favor,favor
with,with
a,a
dash,dash
of,of
ingenuity.,ingenuity,.
He,He
walked,walked
into,into
his,his
bank,bank
one,one
day,day
and,and
asked,asked
to,to
withdraw,withdraw
his,his
entire,entire
account,account
"balance,",balance,","
but,but
with,with
an,an
unusual,unusual
stipulation:,stipulation,:
He,He
wanted,wanted
as,as
much,much
of,of
the,the
cash,cash
as,as
possible,possible
in,in
one,one
dollar,dollar
notes.,notes,.
Bob,Bob
"Murphy,",Murphy,","
the,the
Senior,Senior
PGA,PGA
Tour,Tour
money,money
leader,leader
with,with
seven,seven
hundred,hundred
"thousand,",thousand,","
says,says
heat,heat
shouldn't,should,n't
be,be
a,a
factor.,factor,.
I,I
don't,do,n't
think,think
you're,you,'re
going,going
to,to
have,have
a,a
heat,heat
wave,wave
I'm,I,'m
not,not
going,going
to,to
be,be
able,able
to,to
"handle,",handle,","
he,he
said.,said,.
Everybody,Everybody
treats,treats
it,it
differently.,differently,.
My,My
son,son
"Ronnie,",Ronnie,","
his,his
"caddie,",caddie,","
and,and
I,I
won't,wo,n't
be,be
riding,riding
carts.,carts,.
With,With
schools,schools
still,still
"closed,",closed,","
cars,cars
still,still
buried,buried
and,and
streets,streets
still,still
blocked,blocked
by,by
the,the
widespread,widespread
weekend,weekend
"snowstorm,",snowstorm,","
officials,officials
are,are
asking,asking
people,people
to,to
pick,pick
up,up
a,a
shovel,shovel
and,and
help,help
out.,out,.
In,In
"Boston,",Boston,","
a,a
snow,snow
angel,angel
campaign,campaign
is,is
using,using
social,social
media,media
to,to
encourage,encourage
neighbors,neighbors
and,and
friends,friends
to,to
be,be
an,an
angel,angel
and,and
help,help
dig,dig
out,out
the,the
stranded.,stranded,.
Greg,Greg
"Anderson,",Anderson,","
considered,considered
a,a
key,key
witness,witness
by,by
the,the
"prosecution,",prosecution,","
vowed,vowed
he,he
wouldn't,would,n't
testify,testify
when,when
served,served
a,a
subpoena,subpoena
last,last
week.,week,.
His,His
lawyers,lawyers
said,said
he,he
was,was
prepared,prepared
for,for
a,a
third,third
prison,prison
stay,stay
to,to
maintain,maintain
his,his
silence.,silence,.
Anderson,Anderson
was,was
released,released
July,July
20,20
after,after
a,a
two-week,two-week
stay,stay
for,for
previously,previously
declining,declining
to,to
testify,testify
before,before
a,a
different,different
grand,grand
jury.,jury,.
